0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
204634.48,772684.16,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65,864478.65
145171.09,610508.3,670708.3400000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001,
157136.06,684393.28,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,,
170291.58,798046.12,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,832691.9,,,
207459.27,764740.24,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,844930.84,,,,
197486.67,772713.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,963921.9,,,,,
188960.96,710327.18,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,798848.4,,,,,,
176379.5,676930.52,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,761611.46,,,,,,,
152900.53,789015.53,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,816154.28,,,,,,,,
214757.0,760100.14,836052.34,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,880543.89,,,,,,,,,
142136.33,630567.22,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,798734.1799999999,,,,,,,,,,
170021.28,692070.03,802864.46,902864.46,902864.46,902864.46,902864.46,902864.46,902864.46,902864.46,902864.46,902864.46,902864.46,,,,,,,,,,,
202543.56,778720.21,856301.96,856301.96,856301.96,856301.96,856301.96,856301.96,856301.96,856301.96,856301.96,856301.96,,,,,,,,,,,,
138225.93,694918.7,790139.47,790139.47,790139.47,790139.47,790139.47,790139.47,790139.47,790139.47,790139.47,,,,,,,,,,,,,
181075.64,790945.73,919366.89,919366.89,919366.89,919366.89,919366.89,919366.89,919366.89,919366.89,,,,,,,,,,,,,,
177970.6,636607.6900000001,761454.0,768848.2,768848.2,768848.2,768848.2,768848.2,768848.2,,,,,,,,,,,,,,,
193361.07,761845.2,780993.94,780993.94,780993.94,780993.94,780993.94,780993.94,,,,,,,,,,,,,,,,
166532.54,734188.0,931994.8,931994.8,931994.8,931994.8,931994.8,,,,,,,,,,,,,,,,,
169951.91,713392.86,776701.5,776701.5,776701.5,776701.5,,,,,,,,,,,,,,,,,,
175109.84,700471.5499999999,749294.3099999999,749294.3099999999,749294.3099999999,,,,,,,,,,,,,,,,,,,
151976.83,720486.6,969319.2,969319.2,,,,,,,,,,,,,,,,,,,,
217261.79,838259.81,886351.1900000001,,,,,,,,,,,,,,,,,,,,,
153287.67,768379.39,,,,,,,,,,,,,,,,,,,,,,
190119.46,,,,,,,,,,,,,,,,,,,,,,,
